title_class,body_class
-0.8126,-0.4404
-0.4404,-0.3612
-0.0772,-0.5106
-0.6249,-0.4767
0.0516,-0.3818
-0.25,0.3182
-0.6249,-0.6249
-0.4404,-0.4215
-0.7717,-0.5994
-0.7184,-0.2732
0.0,0.2263
0.5574,-0.5106
-0.6808,0.0
-0.0772,-0.2263
-0.3818,0.2975
-0.296,-0.128
0.0,0.3384
0.3612,0.0
0.0,0.024
0.0,-0.507
-0.34,0.6597
-0.7783,-0.7964
0.0,0.1779
0.0,0.5948
-0.25,0.4215
-0.296,-0.7096
0.0,0.4939
0.0,0.2023
-0.765,-0.5346
0.0,0.2023
0.2023,0.2023
0.4019,0.4019
0.0,0.2263
0.2023,0.5994
0.0,0.7346
0.0,-0.128
0.5423,0.3818
0.0,0.0
0.0,0.4754
-0.2023,0.507
0.2023,0.6908
0.0,0.2023
0.0,0.0
0.0,-0.4404
0.0,0.0
-0.4389,0.0
0.0,0.5574
0.2023,0.0772
0.0,-0.1868
0.0,-0.25
0.2023,0.6908
0.0,0.2023
0.0,0.0
0.0,-0.4404
0.0,0.0
-0.4389,0.0
0.0,0.5574
0.2023,0.0772
0.0,-0.1868
0.0,-0.25
0.0,0.5719
0.0,-0.0772
0.0,0.6369
0.0,0.4939
0.0,0.0
0.0,-0.34
-0.4215,-0.3612
0.0,-0.5719
0.0,0.2023
-0.2263,-0.2263
0.0,0.5719
0.0,-0.0772
0.0,0.6369
0.0,0.4939
0.0,0.0
0.0,-0.34
-0.4215,-0.3612
0.0,-0.5719
0.0,0.2023
-0.2263,-0.2263
0.0,0.0
0.0,0.296
0.0,-0.5719
0.0,-0.34
0.0,-0.5859
0.5719,0.2023
0.0,0.0
0.3164,0.7184
0.0,0.0772
-0.128,0.0772
0.0,0.0
0.0,0.296
0.0,-0.5719
0.0,-0.34
0.0,-0.5859
0.5719,0.2023
0.0,0.0
0.3164,0.7184
0.0,0.0772
-0.128,0.0772
0.0,0.0772
0.0,0.0
0.0,0.4019
-0.2732,-0.296
-0.1027,0.34
0.0,0.5106
-0.5423,-0.5719
0.0,0.0
0.0,0.0
-0.296,0.1027
0.0,0.0
0.2023,0.1027
-0.0258,0.0
-0.2732,-0.296
-0.3612,0.6124
-0.1027,0.34
-0.5423,-0.5719
0.0,0.3818
0.0,0.0
-0.5106,-0.3008
0.0,0.3818
0.0,0.6369
0.0,0.0
0.0,0.8537
-0.6597,0.6597
0.0,0.0
-0.6808,0.25
0.0,-0.2023
0.0,0.4215
0.0,0.0
0.0,0.3818
0.0,0.6369
0.0,0.0
0.0,0.8537
-0.6597,0.6597
0.0,0.0
-0.6808,0.25
0.0,-0.2023
0.0,0.4215
0.0,0.0
0.0,0.296
0.0,0.6124
0.0,0.4215
0.3818,0.296
0.5423,0.2023
-0.6124,-0.4767
0.4767,-0.9052
0.0,0.5927
0.0,0.1027
0.0,-0.6597
0.0,0.296
0.0,0.6124
0.0,0.4215
0.3818,0.296
0.5423,0.2023
-0.6124,-0.4767
0.4767,-0.9052
0.0,0.5927
0.0,0.1027
0.0,-0.6597
0.0,0.1027
0.5423,0.2023
0.0,-0.6124
0.0,-0.0516
0.128,0.128
0.0,-0.3612
0.0,-0.5994
-0.3182,-0.7845
0.4019,-0.5267
0.4404,0.2732
0.0,0.1027
0.5423,0.2023
0.0,-0.6124
0.0,-0.0516
0.128,0.128
0.0,-0.3612
0.0,-0.5994
-0.3182,-0.7845
0.4019,-0.5267
0.4404,0.2732
0.0,0.1027
0.5423,0.2023
0.0,-0.6124
0.0,-0.0516
0.128,0.128
0.0,-0.3612
0.0,-0.5994
-0.3182,-0.7845
0.4019,-0.5267
0.4404,0.2732
0.0,-0.3612
-0.3182,-0.7845
0.0,0.7845
0.5106,0.743
-0.3818,-0.7579
0.0,-0.25
0.0,0.7717
0.0,-0.34
0.0,-0.4019
0.0,0.3818
0.0,0.0
0.0,0.0
0.0,0.0
0.34,0.2732
-0.2263,0.1655
0.0,-0.4019
0.0,-0.2023
0.4019,-0.5267
-0.296,-0.1027
0.0,0.4215
0.0,0.7351
0.0,0.0
0.0,-0.4019
0.0,0.0
0.0,0.0
0.0258,0.5789
-0.5994,-0.7845
0.0,0.0
0.1027,-0.1027
-0.2263,0.1655
0.0,0.0
0.0258,0.5789
0.0,0.0258
0.4404,0.4404
0.0,-0.5106
0.0,0.7474
0.0,0.3818
0.0,0.3612
0.4019,0.6705
0.0,0.5106
0.0,0.0
0.0,0.4939
0.4404,0.4404
0.34,0.296
0.0,0.0
0.0,-0.5859
0.3818,0.6705
0.0,0.0
0.0,-0.5106
0.0,0.7474
0.0,0.7474
0.4019,0.6705
0.0,0.0
-0.0772,0.296
0.2023,-0.4767
0.0,0.0
0.0,-0.296
0.0,0.296
-0.34,-0.4215
0.0,0.2732
0.0,0.4939
0.0,-0.4019
-0.3182,-0.0129
0.0,0.4404
-0.3919,0.0
0.296,0.6597
0.0258,-0.4215
-0.1027,-0.296
0.0,0.2732
-0.2023,-0.4215
0.0,0.2732
-0.128,-0.7783
0.0,0.0
-0.1027,0.25
0.0,-0.539
0.5106,0.0
-0.4404,-0.128
-0.3612,0.34
-0.5106,-0.2732
-0.6705,-0.2263
0.0,0.6124
0.6369,0.4019
0.4215,0.7351
0.0,0.4215
0.34,0.0
0.0,0.8151
-0.5106,0.6705
-0.7003,0.296
0.0,0.4939
-0.34,0.0
0.0,0.4215
-0.4939,0.4215
0.0,0.296
0.0,0.5542
0.0,0.659
0.0,0.8151
-0.34,0.0
0.0,0.4019
0.0,0.2732
0.4404,0.6808
0.0,0.3818
0.2263,-0.8519
0.0,-0.09
0.0,-0.7184
0.0,0.0
0.0,0.4019
0.0,0.0
0.2382,0.2846
0.3818,0.2023
0.0,0.743
0.0,0.743
0.3818,0.2023
0.0,-0.128
0.0,0.3612
0.0,0.0
0.7096,0.3612
-0.4767,0.4404
0.0,0.7184
0.0,0.0
0.0,-0.0516
-0.4767,0.4404
0.0,-0.0516
0.0,-0.34
0.4404,-0.0772
0.5267,-0.6249
0.0,-0.34
0.2023,-0.3612
-0.5267,0.0516
0.0,0.128
-0.3612,-0.5106
0.296,0.2023
0.0,-0.0516
0.5994,-0.1027
0.0,0.0258
0.3612,0.0
-0.3818,0.1531
-0.0516,-0.6597
0.0,0.3612
-0.4019,-0.3182
-0.6249,0.7178
0.0,0.128
-0.0516,-0.6597
-0.872,-0.6705
0.0,0.2263
-0.6249,0.7178
-0.3612,0.0
0.0,0.7184
0.4215,-0.5106
-0.4588,-0.4404
0.0,0.0
0.0,0.1779
-0.3818,0.128
-0.296,0.0
0.1531,-0.3182
0.6124,-0.34
-0.1531,0.0
0.0,0.0
-0.0516,0.7684
0.0,0.2023
0.0,0.0
0.0,0.2023
0.2263,0.296
0.0772,0.0387
0.2263,-0.7964
0.0,0.5423
0.0,0.6808
0.0,0.0
0.0,0.0
0.0,0.4215
0.5106,0.5106
0.4588,0.6815
0.0,-0.4404
0.5106,0.5106
0.0,0.0
0.0,0.7351
0.7828,0.2732
0.0,0.1779
-0.1027,-0.5574
-0.4118,-0.3195
0.0,0.0
0.0,0.4404
-0.1027,-0.4215
-0.3818,0.0101
0.0,-0.3804
0.0,0.3818
0.5859,0.5859
0.0,0.2263
-0.34,0.6597
0.2263,-0.4939
0.0,0.0
0.0,0.6597
0.4767,0.836
-0.3818,0.3818
0.0,0.6249
0.0,0.0
0.0,-0.4767
0.0,0.0
0.0,-0.3291
-0.4215,-0.7003
-0.2732,-0.765
0.0516,0.765
0.0258,0.5267
0.0,0.0
0.0,0.3612
-0.4215,-0.7003
0.0,0.0
0.0,-0.5423
0.0,-0.296
0.3612,0.7717
0.0,0.0
0.0,-0.296
-0.3182,-0.3182
0.3612,0.7717
0.0,-0.4019
0.0,-0.6369
-0.2247,-0.1263
-0.296,-0.5719
0.5423,0.4767
0.0,-0.128
0.3818,0.7906
0.0,0.0
0.0,-0.6705
0.0,-0.0516
0.0,0.4019
0.0,-0.3818
-0.1531,-0.0772
0.3818,0.7906
0.0,0.0
0.296,0.0
0.0,0.4019
0.4588,-0.6249
0.0,-0.3612
0.4019,-0.5859
0.0,-0.8885
0.0,0.0
0.0,-0.296
0.0,0.5574
0.0,-0.8885
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.296
0.0,0.0
0.0,-0.5859
-0.3182,0.6369
0.4404,0.4939
-0.4215,-0.6597
0.0,-0.7096
0.0,0.0
0.4404,0.4939
0.0,-0.8885
-0.3818,0.7003
-0.0516,-0.0516
0.0,0.5574
0.0,0.0
0.0,0.5417
0.0,0.0
-0.765,-0.2263
0.7964,0.7999
0.4404,0.4939
0.0,-0.8885
-0.3818,0.7003
-0.0516,-0.0516
0.0,0.5574
0.0,0.0
0.0,0.5417
0.0,0.0
-0.765,-0.2263
0.7964,0.7999
-0.5859,-0.6705
-0.765,-0.2263
0.0,0.0
-0.2023,0.5423
0.34,0.5994
0.0,0.0
0.0,-0.34
0.0,0.0
0.0,-0.2263
0.0,0.0
0.0,-0.1027
0.0,0.1426
0.0,-0.1027
0.0,0.5423
0.0,-0.3182
0.0,0.0
0.0,-0.2263
-0.1027,0.0
0.0,0.5574
0.0,-0.34
-0.4588,0.4215
0.0,-0.1027
0.0,-0.3612
0.4019,0.3612
0.0,0.2263
0.0,0.1426
0.0,-0.3818
0.0,-0.4767
0.0,0.0
-0.7351,-0.6249
-0.3182,-0.3182
0.0,0.0
-0.7351,-0.6249
0.0,0.0
0.0,-0.4767
0.0,0.0
0.0,0.1027
0.0,0.4939
0.0,-0.3818
-0.4019,0.296
0.0,-0.5106
0.0,0.0
0.0,0.3612
0.296,0.839
0.0,0.128
-0.1027,0.2023
-0.3818,0.0
0.0,-0.128
-0.4939,0.0598
0.128,-0.0772
0.1779,-0.128
-0.1027,0.6335
0.0,0.3612
-0.5574,-0.6369
0.0,0.0
0.296,-0.0258
0.0,-0.128
0.0,-0.4767
0.296,0.5719
0.128,-0.0772
0.2732,0.0
0.0,0.3612
0.0,-0.5106
0.7579,0.5574
0.296,0.839
0.0,0.128
-0.296,-0.2263
0.0,0.5574
0.0,0.2732
0.0,0.7506
-0.296,0.1695
0.0,0.2732
-0.1027,-0.1027
0.0,0.34
